Melchior3000,"Il faut davantage de salsepareille dans cette soupe !"
Gaspard093,"Le parfum c'est important."
JMB,"Nous devons nous réunir pour l'école."
Nico12,Way la play sa déshire !
Paul40,ಠ_ಠ OUlalala ! Évidémment ça fonctionne en unicode ! ಠ_ಠ
Ankor1,Venez visiter notre beau pays !TestMon,Test de service. Coucou :).TestMon,Test de service. Dzień dobry!
TestMon,Test de service. Coucou :).
An¤n1m0us,95981208-1192-4bdf-96a8-b3f40d20f2c0
TestMon,Test de service. Bonjour !
TestMon,Test de service. 🤗
TestMon,Test de service. Coucou :).
TestMon,Test de service. Bonjour !
An¤n1m0us,73acf904-f5e1-4f06-be7f-9c0d76b8ff52
test,test
TestMon,Test de service. Dzień dobry!
TestMon,Test de service. Dzień dobry!
jeannine-lucie,💋
TestMon,Test de service. Coucou :).
TestMon,Test de service. Coucou :).
TestMon,Test de service. Nous reviendrons plus tard.
TestMon,Test de service. Bonjour !
An¤n1m0us,b8a0f09e-9de6-4977-ab61-3b0c7791294e
louise,💋
TestMon,Test de service. Coucou :).
TestMon,Test de service. Bonjour !
An¤n1m0us,65f919bc-1e53-47b4-8149-cf0ae6f4cb1b
An¤n1m0us,a628b91a-a64c-4cd7-8151-2ab43eb2958e
TestMon,Test de service. Bonjour !
édith,💋
lol,"<iframe src=""https://giphy.com/embed/1GrsfWBDiTN60"" width=""480"" height=""262"" frameBorder=""0"" class=""giphy-embed"" allowFullScreen></iframe><p><a href=""https://giphy.com/gifs/dance-long-hair-shake-1GrsfWBDiTN60"">via GIPHY</a></p>"
lol,"<img src=""pic_trulli.jpg"">"
lol,"<img src=""pic_trulli.jpg"">"
TestMon,Test de service. Nous reviendrons plus tard.
lol,"<img src=""pic_trulli.jpg"">"
TestMon,Test de service. Bonjour !
TestMon,Test de service. 🤗
TestMon,Test de service. Dzień dobry!
TestMon,Сервисное сообщение. Привет привет!
TestMon,Сервисное сообщение. Привет привет!
TestMon,Test de service. Dzień dobry!
TestMon,Test de service. Nous reviendrons plus tard.
TestMon,Test de service. Bonjour !
